"location.name","lat","long","date","commodity","unit","currency","quantity.total","quantity.mean","value.mean"
"Jaffa",32.05043,34.75224,1894-01-01,"maize","kg","gbp",59845.1624495587,29922.5812247794,2000
"Jaffa",32.05043,34.75224,1895-01-01,"barley","kg","gbp",16510.7621359139,8255.38106795695,360
"Jaffa",32.05043,34.75224,1895-01-01,"maize","kg","gbp",120045.941314352,60022.9706571762,3200
"Jaffa",32.05043,34.75224,1895-01-01,"wheat","kg","gbp",126243.827408449,63121.9137042247,3560
"Jaffa",32.05043,34.75224,1896-01-01,"barley","kg","gbp",12700.5862583953,12700.5862583953,635
"Jaffa",32.05043,34.75224,1896-01-01,"maize","kg","gbp",264807.223487542,264807.223487542,14178
"Jaffa",32.05043,34.75224,1896-01-01,"wheat","kg","gbp",13856.3396079093,13856.3396079093,1920
"Jaffa",32.05043,34.75224,1898-01-01,"maize","kg","gbp",38101.7587751859,38101.7587751859,3000
"Jaffa",32.05043,34.75224,1898-01-01,"wheat","kg","gbp",127005.862583953,127005.862583953,14000
"Jaffa",32.05043,34.75224,1899-01-01,"maize","kg","gbp",3810.17587751859,3810.17587751859,1350
"Jaffa",32.05043,34.75224,1899-01-01,"wheat","kg","gbp",0,0,0
"Latakia",35.51484,35.77684,1898-01-01,"cereals","kg","gbp",4004237.02351326,4004237.02351326,23645.4
"Latakia",35.51484,35.77684,1899-01-01,"cereals","kg","gbp",9398424.88391211,9398424.88391211,67562
"Latakia",35.51484,35.77684,1900-01-01,"cereals","kg","gbp",5080229.66697952,5080229.66697952,39000
"Mersin",NA,NA,1888-01-01,"barley","kg","gbp",4109905.80058643,4109905.80058643,17120
"Mersin",NA,NA,1888-01-01,"oats","kg","gbp",711232.153377133,711232.153377133,2628
"Mersin",NA,NA,1888-01-01,"wheat","kg","gbp",7681307.25647303,7681307.25647303,40320
"Mersin",NA,NA,1889-01-01,"barley","kg","gbp",8229972.06050682,8229972.06050682,25800
"Mersin",NA,NA,1889-01-01,"oats","kg","gbp",723424.704577884,723424.704577884,2400
"Mersin",NA,NA,1889-01-01,"wheat","kg","gbp",15416464.9474161,15416464.9474161,85000
"Mersin",NA,NA,1890-01-01,"barley","kg","gbp",18542838.2844752,18542838.2844752,58500
"Mersin",NA,NA,1890-01-01,"millet","kg","gbp",609627.560037542,609627.560037542,1650
"Mersin",NA,NA,1890-01-01,"oats","kg","gbp",10465273.1139778,10465273.1139778,33000
"Mersin",NA,NA,1890-01-01,"wheat","kg","gbp",29312925.1784718,29312925.1784718,16500
"Mersin",NA,NA,1891-01-01,"barley","kg","gbp",32005446.901971,32005446.901971,22500
"Mersin",NA,NA,1891-01-01,"millet","kg","gbp",1930487.27345222,1930487.27345222,9500
"Mersin",NA,NA,1891-01-01,"oats","kg","gbp",5689857.22701706,5689857.22701706,22500
"Mersin",NA,NA,1891-01-01,"wheat","kg","gbp",62994847.8705461,62994847.8705461,393000
"Saida",33.55751,35.37148,1892-01-01,"barley","kg","",32000,32000,NA
"Saida",33.55751,35.37148,1892-01-01,"millet","kg","",6000,6000,NA
"Saida",33.55751,35.37148,1892-01-01,"wheat","kg","",16000,16000,NA
"Saida",33.55751,35.37148,1900-01-01,"millet","kg","",57152.6381627789,57152.6381627789,NA
"Tripoli",34.43352,35.84415,1892-01-01,"barley","kg","",15596.3199253094,15596.3199253094,NA
"Tripoli",34.43352,35.84415,1892-01-01,"wheat","kg","",117607.428752741,117607.428752741,NA
"Tripoli",34.43352,35.84415,1893-01-01,"wheat","kg","gbp",57254.2428528461,57254.2428528461,6524
"Tripoli",34.43352,35.84415,1897-01-01,"barley","kg","gbp",14991757.7472566,14991757.7472566,50020
"Tripoli",34.43352,35.84415,1897-01-01,"wheat","kg","gbp",4572206.70028157,4572206.70028157,25000
"Tripoli",34.43352,35.84415,1898-01-01,"barley","kg","",5080229.66697952,5080229.66697952,NA
"Tripoli",34.43352,35.84415,1898-01-01,"maize","kg","",762034.450046928,762034.450046928,NA
"Tripoli",34.43352,35.84415,1898-01-01,"wheat","kg","",1270057.41674488,1270057.41674488,NA
"Tripoli",34.43352,35.84415,1899-01-01,"barley","kg","gbp",8128367.46716723,8128367.46716723,60000
"Tripoli",34.43352,35.84415,1900-01-01,"barley","kg","gbp",33529515.8020648,33529515.8020648,225000
